ID,章,章タイトル,節,節タイトル,問題番号,難易度,文法事項,Focus,日本語,英文（穴埋め）,ヒント,英文（完全）,答え,Tip（思考誘導）,解説,語句・熟語,注意・補足,Words to Use
30,5章,不定詞,-,-,125-1,基本,-,F 093,タブレットは持ち運びやすく使いやすい。,Tablets ( )( )( )( ) and use.,-,Tablets are easy to carry and use.,are / easy / to / carry,「Sは〜するには簡単だ = Sは~しやすい」を表す表現は?,easy difficult のような難易などを表す形容詞は、後に不定詞を続けて、「Sは〜するには･･･だ」という意味を表す。,-,主語が不定詞の目的語の働きをしており、不定詞の後は目的語のない不完全な形となる。,see / enter / line up / carry
31,5章,不定詞,-,-,125-2,基本,-,-,数学の問題は練習しないと解くのが難しい。,Math problems ( )( )( )( ) without practice.,-,Math problems are difficult [hard] to solve without practice.,are / difficult [hard] / to / solve,「Sは〜するのが難しい」を表す表現は?,125-1と同様。難易などを表す形容詞は、後に不定詞を続ける。,without A 「Aなしで」,-,see / enter / line up / carry
32,5章,不定詞,-,-,126,発展,-,F 096,本日、G7の首脳が広島を訪問することになっている。,The G7 leaders (a )( )( ) Hiroshima today.,a,The G7 leaders are to visit Hiroshima today.,are / to / visit,はっきりと決まっている公的な計画や行事について使う予定の表現は?,〈be動詞+to不定詞〉を〈助動詞+動詞の原形〉のように使うことができる。be動詞+to不定詞 「~することになっている」一予定。,-,-,achieve / nowhere / see / stay / healthy / hold
33,5章,不定詞,-,-,127,発展,-,F 096,目標を達成するためには、きちんと計画を立てなければならない。,"If you (a )( )( ) your goals, you have to plan properly.",a,"If you are to achieve your goals, you have to plan properly.",are / to / achieve,条件を表すif節の中で「~するためには→~するつもりなら」という意図を表す表現は?,be動詞+to不定詞 「~するつもりである」一意図。条件を表すif節の中で使う。,-,-,achieve / nowhere / see / stay / healthy / hold
34,5章,不定詞,-,-,128,基本,-,F 096,その少年が公園に着くと、友達の姿はどこにもなかった。,"When the boy arrived at the park, his friends (w )(n )( )( )( )( ).",w / n,"When the boy arrived at the park, his friends were nowhere to be seen [found].",were / nowhere / to / be / seen [found],「友達の姿はどこにもなかった→友達はどこにも見られなかった [見つからなかった]」と表現する。,be動詞+to be done 「~されることができる」一可能。主に否定文で使い、to不定詞は受動態にすることが多い。,be nowhere to be seen [found] 「どこにも見られない 「見つからない]」,-,achieve / nowhere / see / stay / healthy / hold
35,5章,不定詞,-,-,129,基本,-,-,「あなたは日本国外で暮らしたいですか。」「どちらとも言えません。」,"""(W )( )( )( )( ) outside Japan?"" ""Yes and no.""",W,"""Would you like to live outside Japan?"" ""Yes and no.""",Would / you / like / to / live,相手に控えめに「~したいですか」と尋ねる丁寧な表現は?,would like to do 「~したい」。want to do よりも控えめで丁寧な表現。,"outside Japan 「日本国外で」, yes and no 「どちらとも言えない」",-,achieve / nowhere / see / stay / healthy / hold
36,5章,不定詞,-,-,130-1,基本,-,-,健康でいるにはバランスのとれた食事をとることが重要だ。,It is important to eat a balanced diet ( )( )( )(s )(h ).,s / h,It is important to eat a balanced diet in order to stay healthy.,in / order / to / stay / healthy,「~でいるために」という「目的」の意味を、より明確に表す表現は?,in order to do / so as to do 「~するために」。不定詞の副詞的用法の to do 「~するために」よりも「目的」の意味を明確に表す。,"eat a balanced diet 「バランスのとれた食事をとる」, stay healthy 「健康でいる」",so+形容詞[副詞]+as to do 「~なので･･･する」と混同しないこと。,achieve / nowhere / see / stay / healthy / hold
37,5章,不定詞,-,-,130-2,基本,-,-,他人の気持ちを傷つけないように、言葉を慎重に選ぶべきだ。,We should choose our words carefully (to / hurt / in / not / the feelings / order) of others.,-,We should choose our words carefully in order not to hurt the feelings of others.,in / order / not / to / hurt / the / feelings,「~しないように」を表す表現は?,in order not to do / so as not to do 「~しないように」。in order / so as を付けずに、not to do だけで「目的」の意味の「~しないように」は表せない。,the feelings of others 「他人の気持ち」,-,achieve / nowhere / see / stay / healthy / hold
38,5章,不定詞,-,-,131-1,基本,-,-,彼は親切にも年配の女性のためにドアを開けておいた。,He was (k )( )( )( ) (h ) the door open for the elderly woman.,k / h,He was kind enough to hold the door open for the elderly woman.,kind / enough / to / hold,enough を使った表現と、soを使った表現で表す。それぞれ語順に注意。,"形容詞[副詞] + enough to do / so+形容詞[副詞] + as to do 。形容詞・副詞は enoughの直前,soの直後に置く。",hold the door open 「ドアを開けておく」,-,achieve / nowhere / see / stay / healthy / hold
39,5章,不定詞,-,-,131-2,基本,-,-,彼は親切にも年配の女性のためにドアを開けておいた。,He was ( )( )( )( )( )(h ) the door open for the elderly woman.,h,He was so kind as to hold the door open for the elderly woman.,so / kind / as / to / hold,enough を使った表現と、soを使った表現で表す。それぞれ語順に注意。,"形容詞[副詞] + enough to do / so+形容詞[副詞] + as to do 。形容詞・副詞は enoughの直前,soの直後に置く。",hold the door open 「ドアを開けておく」,-,achieve / nowhere / see / stay / healthy / hold
40,5章,不定詞,-,-,131-3,基本,-,-,彼女は強いので簡単にはあきらめない。,She is ( )( )( )( )( )( ) easily.,-,She is strong enough not to give up easily.,strong / enough / not / to / give / up,「(十分)~なので･･･しない」を表す表現は?,形容詞[副詞]+enough not to do 「･･･しないほど~、(十分)~なので･･･しない」。to不定詞の直前に not を置く。,-,-,with / truth / worse / needless / speak / say / nothing
41,5章,不定詞,-,-,132,基本,-,-,今週はあまりに忙しくてプロジェクトの手伝いができない。,I'm ( )( )( )( )( ) the project this week.,-,I'm too busy to help with the project this week.,too / busy / to / help / with,「あまりに〜なので･･･できない」を表す表現は?,too+形容詞[副詞] + to do 「･･･するには〜すぎる、あまりに〜なので･･･できない」。肯定文だが否定の内容を表す。形容詞・副詞はtooの直後に置く。,help with A 「A(物事)を手伝う」,-,with / truth / worse / needless / speak / say / nothing
42,5章,不定詞,-,-,133-1,発展,-,-,チャットを始めるにはアイコンをクリックするだけでいい。,(you / click on / all / to / have / do / is) the icon to start chatting.,-,All you have to do is click on the icon to start chatting.,All / you / have / to / do / is / click / on,「しなければならないすべてのことは~だ」と表現する。,〈All S have to do is (to) do〉「Sは~しさえすればよい」。〈All S have to do is + 補語〉の補語はto不定詞よりも原形不定詞のほうが普通。,click on an icon 「アイコンをクリックする」,-,with / truth / worse / needless / speak / say / nothing
43,5章,不定詞,-,-,133-2,発展,-,-,チャットを始めるにはアイコンをクリックするだけでいい。,You (o )( )( )( )( )( ) the icon to start chatting.,o,You only have to click on the icon to start chatting.,only / have / to / click / on,「~だけしなければならない」と表現する。,S only have to do 「Sは~しさえすればよい」。,-,-,with / truth / worse / needless / speak / say / nothing
44,5章,不定詞,-,-,134,基本,-,F 097,実を言うと、私は歌があまり得意ではない。,"To ( )( )( ), I'm not very good at singing.",-,"To tell (you) the truth, I'm not very good at singing.",tell / you / the / truth,「実を言うと」を表す定型表現は?,不定詞が文全体を修飾することがある。この不定詞の副詞的用法を独立不定詞と呼ぶ。,to tell (you) the truth 「実を言うと」,-,with / truth / worse / needless / speak / say / nothing
45,5章,不定詞,-,-,135,基本,-,-,さらに悪いことに、その女性はバスに乗り遅れた。,"( )( )(m )( ), the woman missed her bus.",m,"To make matters worse, the woman missed her bus.",To / make / matters / worse,「さらに悪いことに」を表す定型表現は?,to make matters worse 「さらに悪いことには」 一文頭または文中で使われる。,-,-,with / truth / worse / needless / speak / say / nothing
46,5章,不定詞,-,-,136,基本,-,-,貧困が子どもの教育に影響を与えることは言うまでもない。,"( )( )(s ), poverty affects children's education.",s,"Needless to say, poverty affects children's education.",Needless / to / say,「言うまでもなく」を表す定型表現は?,needless to say 「言うまでもなく」一文頭または文中で使われる。,affect A 「Aに影響する」,-,with / truth / worse / needless / speak / say / nothing
47,5章,不定詞,-,-,137,基本,-,-,インターネットは、いわば、異文化への入り口だ。,"The internet is, ( )( )( ), a gateway to different cultures.",-,"The internet is, so to speak, a gateway to different cultures.",so / to / speak,「いわば」を表す定型表現は?,so to speak = as it were 「いわば」一文中または文末で使われる。,a different culture「異文化」,-,with / truth / worse / needless / speak / say / nothing
48,5章,不定詞,-,-,138,基本,-,-,母国語の英語はもちろんのこと、ナオミはフランス語も流ちょうに話す。,"Naomi speaks French fluently, ( )( )(n )( ) her native English.",n,"Naomi speaks French fluently, to say nothing of her native English.",to / say / nothing / of,「~は言うまでもなく」を表す定型表現は?,to say nothing of A 「Aは言うまでもなく」 = not to speak of A = not to mention A,-,-,with / truth / worse / needless / speak / say / nothing
1,6章,動名詞,-,-,139,基本,-,F 098,異文化について学ぶことは大切だ。,(L)(a)( )( ) is important.,L / a,Learning about different cultures is important.,Learning / about / different / cultures,動名詞を使って「異文化について学ぶこと」を主語にする。,動詞の原形に-ingが付いて「~すること」という名詞の働きをする準動詞を動名詞と呼ぶ。動名詞(句)は文の中で、主語・目的語・補語・前置詞の目的語として使う。この文では Learning about different cultures という動名詞句が主語。,learn about Aは「(習得ではなく) A (知識など)について学ぶ」の意味。learn Aは「A(技術など)を学んで使えるようになる、習得する」の意味。study は「(努力して)A(学科など)を勉強する」の意味。,-,learn / study
2,6章,動名詞,-,-,140,基本,-,F 098,スマートフォンを使い過ぎると目を痛めることがある。,(U) a ( )( )( ) can damage your eyes.,U,Using a smartphone too much can damage your eyes.,Using / smartphone / too / much,「スマートフォンをあまりにも多く使うこと」を主語にする。「スマートフォンの使い過ぎは目を痛めることがある」と表現する。,動名詞句 Using a smartphone too much が主語。,"use A too much 「Aを使い過ぎる」, damage one's eyes 「目を痛める」",-,learn / study
3,6章,動名詞,-,-,141,基本,-,F 098,私のお気に入りの気晴らしは小説を読むことだ。,My favorite pastime ( )( )( ).,-,My favorite pastime is reading novels.,is / reading / novels,「小説を読むこと」を補語にする。「これから行う」のではなく「実際に行っている」場合は、to不定詞と動名詞、どちらが好まれる?,動名詞句 reading novels が補語。,-,〈S is doing〉は「Sは~している」という現在進行形の場合と、「Sは〜することだ」という動名詞が補語の場合がある。He is swimming. (彼は泳いでいる。)は現在進行形で、swimmingは現在分詞。,learn / study
4,6章,動名詞,-,-,142,基本,-,-,留学することで視野を広げることができる。,You can broaden your horizons ( )( )( ).,-,You can broaden your horizons by studying abroad.,by / studying / abroad,「留学をすることで=留学をすることによって」,by doing 「~することによって」。動名詞句 studying abroad が前置詞 by の目的語。,"broaden one's horizons「視野を広げる」 = expand one's horizons, study abroad 「留学する」",to不定詞は前置詞の目的語にはならない。○by doing ×by to do,learn / study
5,6章,動名詞,-,-,143,基本,-,-,外国へ行く前に自国の文化について学ぶことが大切だ。,It is important to learn about our own culture ( )( )( ).,-,It is important to learn about our own culture before going abroad.,before / going / abroad,不定詞とは違い、動名詞は〈前置詞+動名詞〉の形をとることができる。,before doing 「~する前に」,go abroad 「外国へ行く」,-,learn / study
6,6章,動名詞,-,-,144,基本,-,-,私は音楽を聴くのが好きだ。,I am ( )( )( ) to music.,-,I am fond of listening to music.,fond / of / listening,like と同じ意味を表す表現は?,be fond of doing 「~するのが好きだ」 = like doing,-,-,learn / study
7,6章,動名詞,-,-,145,基本,-,-,私はイギリス留学に興味がある。,I ( )( )( )( ) in the UK.,-,I am interested in studying in the UK.,am / interested / in / studying,「イギリス留学に→ イギリスで勉強することに」と表現する。,be interested in doing 「~することに興味がある」,study in the UK 「イギリスへ留学する」,-,learn / study
8,6章,動名詞,-,-,146,基本,-,-,仕事が増えなければ、貧困解消の見込みはない。,"Without more jobs, we ( )( )( )( )(e ) poverty.",e,"Without more jobs, we have no chance of ending poverty.",have / no / chance / of / ending,「貧困解消の見込み→貧困を終わらせることの見込み」と表現する。,have no chance of doing 「~する見込みはない」,end poverty「貧困を解消する [撲滅する]」,have no chance to do は「~する機会がない」の意味。この問題では不可。,chance / raise / treat / wear / see
9,6章,動名詞,-,-,147,基本,-,F 101,クラスメートと一緒に慈善活動のためにお金を募ったことを誇りに思う。,I'm proud of ( )( ) money for charity with my classmates.,-,I'm proud of having raised money for charity with my classmates.,having / raised,「誇りに思っている」のは今の状態、「お金を募った」のはそれより前の行動。動名詞が述語動詞よりも「前の時の動作」を表す場合、動名詞の形はどうする?,動名詞が述語動詞よりも前の時の動作や状態を表す場合、動名詞は〈having+過去分詞〉の形になる(動名詞の完了形)。この文では〈be proud of having +過去分詞〉で「~したことを誇りに思う」の意味。,raise money for charity「慈善活動のためにお金を募る」,-,chance / raise / treat / wear / see
10,6章,動名詞,-,-,148,基本,-,F 102,両親に子ども扱いされるのはうんざりだ。,I'm tired of ( )( ) like a child by my parents.,-,I'm tired of being treated like a child by my parents.,being / treated,「子ども扱いされるのは→子ども扱いされることに(うんざりしている)」。動名詞の受動態の形は?,動名詞の受動態 「~されること」はbeing+過去分詞 (done)の形にする。,"be tired of A 「Aにうんざりしている」, treat A like B 「AをBのように扱う」",-,chance / raise / treat / wear / see
11,6章,動名詞,-,-,149,基本,-,F 100,自転車に乗っているときにヘルメットを着用しないのはとても危険だ。,( )( ) a helmet while cycling is very dangerous.,-,Not wearing a helmet while cycling is very dangerous.,Not / wearing,「~しないこと」という動名詞の否定形の表し方は?,動名詞の否定形は、動名詞の直前に not や never を置く。not doing 「~しないこと」,-,-,chance / raise / treat / wear / see
12,6章,動名詞,-,-,150,基本,-,F 099,個人情報の漏えいが懸念されている。,There are concerns about (being / information / leaked / personal).,-,There are concerns about personal information being leaked.,personal / information / being / leaked,「個人情報」が、「漏えい(すること)」の意味上の主語にあたる。動名詞の意味上の主語はどこに置く?,動名詞の直前に、動名詞の意味上の主語を置くことがある。意味上の主語が名詞の場合は〈そのままの形+動名詞〉または〈所有格+動名詞〉の形に、代名詞の場合は〈目的格+動名詞〉または〈所有格+動名詞〉の形にする。会話では目的格のほうがよく使われる。,"concern「心配,気づかい、関係,関心事,懸念」, be leaked 「(情報などが) 漏れる [流出する]」",-,chance / raise / treat / wear / see
13,6章,動名詞,-,-,151,基本,-,-,花火を見るのを楽しみにしていた。,I was ( )( )( )( ) the fireworks.,-,I was looking forward to seeing the fireworks.,looking / forward / to / seeing,「~を楽しみにする」を表す表現は?,look forward to A [doing] 「Aを [~するのを] 楽しみにする」。前置詞 to の後には名詞または動名詞がくる。,see (the) fireworks 「花火を見る」,このtoはto不定詞ではなく前置詞。よってto の後に動詞の原形はこない。,chance / raise / treat / wear / see
14,6章,動名詞,-,-,152-1,基本,-,-,高齢者は電子機器を使うことに慣れていない。,The elderly ( )( )( )( )( ) electronic devices.,-,The elderly are not used to using electronic devices.,are / not / used / to / using,「~することに慣れている」を表す表現は?,be used to A [doing] / be accustomed to doing 「Aに [~することに]慣れている」,electronic device「電子機器」-device「装置」,-,chance / raise / treat / wear / see
15,6章,動名詞,-,-,152-2,発展,-,-,スマートフォンは友達や家族とコミュニケーションをとるのに使える。,Smartphones can ( )( )( )( ) with friends and family.,-,Smartphones can be used to communicate with friends and family.,be / used / to / communicate,「~に慣れている」の表現と形は似ているが、意味と用法が異なる。受動態の「使われる」と、「~するために」を一緒に使って、「~するために使われる」と表現する。,be used to do 「~するために使われる」。「Sは使われる」 (be used) という受動態の文に、「~するために」 (to do) という不定詞の副詞的用法(目的)が付いた表現。,communicate with A ΓΑとコミュニケーションをとる」,"used to do 「以前は〜したものだ、以前は~だった」, <be used to A [doing]> <be used + to do) (used to do〉は間違えやすいので注意。",chance / raise / treat / wear / see
16,6章,動名詞,-,-,153,基本,-,-,早起きに慣れるのにしばらく時間がかかるかもしれない。,It may take a while to (g )( )( )( )( ) early.,g,It may take a while to get used to getting up early.,get / used / to / getting / up,「慣れている」という状態ではなく「慣れる」という動作を表すには?,get used to A [doing] / get accustomed to doing 「Aに [~することに]慣れる」。前置詞 to の後には名詞または動名詞がくる。,It takes a while (for A) to do 「(Aが)〜するのにはしばらく時間がかかる」,× get used to get up... は誤り。,choose / see
17,6章,動名詞,-,-,154,基本,-,-,公共の場所での喫煙に反対する人は多い。,Many people (o )( )( ) in public places.,o,Many people object to smoking in public places.,object / to / smoking,「~に反対する」を表す2語から成る表現は?,object to A [doing] 「Aに [~することに]反対する」 = oppose A [doing],smoke in public places 「公共の場所でたばこを吸う」,-,choose / see
18,6章,動名詞,-,-,155,基本,-,-,かっこいい服を選ぶことに関してはナオミがいちばんだ。,Naomi is the best (w )( )( )( )(c ) stylish clothes.,w / c,Naomi is the best when it comes to choosing stylish clothes.,when / it / comes / to / choosing,「~することに関しては→~することになると」を表す表現は?,when it comes to A [doing] 「Aのこと [~すること]となると」,clothes「衣服」 -es が付いて「衣服」の意味。複数扱い。発音は/klóuz/,-,choose / see
19,6章,動名詞,-,-,156,基本,-,-,今週末にビーチに行くのはどうだろう?,(do/you/going/to/say/what) to the beach this weekend?,-,What do you say to going to the beach this weekend?,What / do / you / say / to / going,How about doing 「~するのはどうだろう?」 などと同じ意味を表す表現は?,What do you say to A [doing]? 「Aは [~するのは] どうだろう?」 = How about A [doing]? = What about A [doing]?,-,-,choose / see
20,6章,動名詞,-,-,157,基本,-,-,今夜は勉強する気がしない。,I ( )( )( )( ) tonight.,-,I don't feel like studying tonight.,don't / feel / like / studying,「~したい気分だ」を表す表現を否定文で使うと「~する気がしない」になる。,feel like doing 「~したい気分だ」 = feel inclined to do,feel like S'+V' 「･･･のような気がする」 = feel as if ... = feel as though...,-,choose / see
21,6章,動名詞,-,-,158,発展,-,-,私を見るとすぐに、彼は方向を変えて道を渡り始めた。,"( )( )( ), he changed direction and started to cross the street.",-,"On seeing me, he changed direction and started to cross the street.",On / seeing / me,動名詞を使って「~するとすぐに」を表す表現は?,on doing 「~するとすぐに」 = as soon as S'+V',change direction 「方向を変える」,-,choose / see
22,6章,動名詞,-,-,159,基本,-,-,この本は読む価値がある。,This book is ( )( ).,-,This book is worth reading.,worth / reading,「~する価値がある」を表す表現は?,A is worth doing 「Aは〜する価値がある」。動名詞と主語の間には、意味上のVと○の関係 (read this book)がある。動名詞の目的語が主語に移動した形。,-,×This book is worth reading it. や × This book is worth being read. にはならない。,choose / see
23,6章,動名詞,-,-,160,基本,-,-,彼女は一度話し始めると止められない。,There ( )( )( ) her once she starts talking.,-,There is no stopping her once she starts talking.,is / no / stopping,「~することはできない」を表す、動名詞を使った表現は?,There is no doing 「~することはできない」 = It is impossible to do= No one can do = We cannot do,-,-,choose / see
24,6章,動名詞,-,-,161,基本,-,-,彼からのメッセージの返信を待っても無駄だ。,( )( )( )( )( ) for him to text back.,-,It is no use [good] waiting for him to text back.,It / is / no / use [good] / waiting,「~しても無駄だ」を表す定型表現は?,It is no use [good] doing 「~しても無駄だ」 = There is no point (in) doing,text (A) back 「(Aに) メッセージを返信する」,-,choose / see
25,6章,動名詞,-,-,162,基本,-,-,樹木保護の助けとなるよう、紙をリサイクルすべきなのは言うまでもない。,( )( )( )( )( ) we should recycle paper to help save trees.,-,It goes without saying that we should recycle paper to help save trees.,It / goes / without / saying / that,「･･･は言うまでもないことだ」を表す定型表現は?,"It goes without saying that S'+V' 「･･･は言うまでもないことだ」 = Needless to say, S+V","recycle paper 「紙をリサイクルする」, help (to) do 「~する助けとなる」, save trees 「樹木を保護する」",help (to) do のto は省略されることが多い。,choose / see
26,6章,動名詞,-,-,139,精選英作文,-,-,異文化について学ぶことは大切だ。,(cultures/is/different/important/about/learning).,-,Learning about different cultures is important.,Learning / about / different / cultures / is / important,-,-,-,-,-
27,6章,動名詞,-,-,140,精選英作文,-,-,スマートフォンを使い過ぎると目を痛めることがある。,(too/damage/can/much / a smartphone / using) your eyes.,-,Using a smartphone too much can damage your eyes.,Using / a / smartphone / too / much / can / damage,-,-,-,-,-
28,6章,動名詞,-,-,141,精選英作文,-,-,私のお気に入りの気晴らしは小説を読むことだ。,My (reading/pastime/is/favorite / novels).,-,My favorite pastime is reading novels.,favorite / pastime / is / reading / novels,-,-,-,-,-
29,6章,動名詞,-,-,142,精選英作文,-,-,留学することで視野を広げることができる。,You can (abroad/by/horizons/broaden/your/ studying).,-,You can broaden your horizons by studying abroad.,broaden / your / horizons / by / studying / abroad,-,-,-,-,-
30,6章,動名詞,-,-,143,精選英作文,-,-,外国へ行く前に自国の文化について学ぶことが大切だ。,It is important to (our own culture/going/before/about/learn/ abroad).,-,It is important to learn about our own culture before going abroad.,learn / about / our / own / culture / before / going / abroad,-,-,-,-,-
31,6章,動名詞,-,-,144,精選英作文,-,-,私は音楽を聴くのが好きだ。,(listening/fond/to/am/of/1) music.,-,I am fond of listening to music.,I / am / fond / of / listening / to,-,-,-,-,-
32,6章,動名詞,-,-,145,精選英作文,-,-,私はイギリス留学に興味がある。,(in/in/studying/1/interested / am) the UK.,-,I am interested in studying in the UK.,I / am / interested / in / studying / in,-,-,-,-,-
33,6章,動名詞,-,-,146,精選英作文,-,-,仕事が増えなければ、貧困解消の見込みはない。,"Without more jobs, we (chance/poverty/ have /ending/of/no).",-,"Without more jobs, we have no chance of ending poverty.",have / no / chance / of / ending / poverty,-,-,-,-,-
34,6章,動名詞,-,-,147,精選英作文,-,-,クラスメートと一緒に慈善活動のためにお金を募ったことを誇りに思う。,(raised/of/I'm/money/proud / having) for charity with my classmates.,-,I'm proud of having raised money for charity with my classmates.,I'm / proud / of / having / raised / money,-,-,-,-,-
35,6章,動名詞,-,-,149,精選英作文,-,-,自転車に乗っているときにヘルメットを着用しないのはとても危険だ。,(a helmet / wearing/cycling/is/not/while) very dangerous.,-,Not wearing a helmet while cycling is very dangerous.,Not / wearing / a / helmet / while / cycling / is,-,-,-,-,-
36,6章,動名詞,-,-,150,精選英作文,-,-,個人情報の漏えいが懸念されている。,There (being/personal information/are/concerns / leaked / about).,-,There are concerns about personal information being leaked.,are / concerns / about / personal / information / being / leaked,-,-,-,-,-
37,6章,動名詞,-,-,151,精選英作文,-,-,花火を見るのを楽しみにしていた。,(seeing/to/looking/1/forward / was) the fireworks.,-,I was looking forward to seeing the fireworks.,I / was / looking / forward / to / seeing,-,-,-,-,-
38,6章,動名詞,-,-,152-1,精選英作文,-,-,高齢者は電子機器を使うことに慣れていない。,The elderly (using/electronic devices / not/to/used/are).,-,The elderly are not used to using electronic devices.,are / not / used / to / using / electronic / devices,-,-,-,-,-
39,6章,動名詞,-,-,152-2,精選英作文,-,-,スマートフォンは友達や家族とコミュニケーションをとるのに使える。,Smartphones (used / communicate / can/to/be/with) friends and family.,-,Smartphones can be used to communicate with friends and family.,can / be / used / to / communicate / with,-,-,-,-,-
40,6章,動名詞,-,-,153,精選英作文,-,-,早起きに慣れるのにしばらく時間がかかるかもしれない。,It may take (used / a while/to/to/get/getting) up early.,-,It may take a while to get used to getting up early.,a / while / to / get / used / to / getting,-,-,-,-,-
41,6章,動名詞,-,-,154,精選英作文,-,-,公共の場所での喫煙に反対する人は多い。,(in/object/public places/smoking/to/many people).,-,Many people object to smoking in public places.,Many / people / object / to / smoking / in / public / places,-,-,-,-,-
42,6章,動名詞,-,-,157,精選英作文,-,-,今夜は勉強する気がしない,(feel/studying/like/1/don't) tonight.,-,I don't feel like studying tonight.,I / don't / feel / like / studying,-,-,-,-,-
43,6章,動名詞,-,-,159,精選英作文,-,-,この本は読む価値がある。,(reading/book/worth/this/is).,-,This book is worth reading.,This / book / is / worth / reading,-,-,-,-,-
44,6章,動名詞,-,-,160,精選英作文,-,-,彼女は一度話し始めると止められない。,(once/her/is/stopping/no/ there) she starts talking.,-,There is no stopping her once she starts talking.,There / is / no / stopping / her / once,-,-,-,-,-
45,6章,動名詞,-,-,161,精選英作文,-,-,彼からのメッセージの返信を待っても無駄だ。,(no/waiting/is/for/use/it) him to text back.,-,It is no use waiting for him to text back.,It / is / no / use / waiting / for,-,-,-,-,-
46,6章,動名詞,-,-,162,精選英作文,-,-,樹木保護の助けとなるよう、紙をリサイクルすべきなのは言うまでもない,(that/saying/it/we/goes/without) should recycle paper to help save trees.,-,It goes without saying that we should recycle paper to help save trees.,It / goes / without / saying / that / we,-,-,-,-,-
1,7章,分詞,-,-,163-1,基本,-,F 103,多くの製品はリサイクル素材から作られている。,Many products are made from ( )( ).,-,Many products are made from recycled materials.,recycled / materials,「リサイクル素材 → リサイクルされた素材」。「リサイクルされた」を表す分詞1語を使って名詞を修飾する。分詞が1語の場合、それを置く位置は?,分詞には現在分詞 (doing)と過去分詞 (done)があり、それらが形容詞の働きをして名詞を前から修飾し、名詞の意味を限定することがある。この用法を分詞の限定用法と呼ぶ。現在分詞の場合、「~している」という能動の意味を表し、過去分詞の場合、「~される、〜された」という受動の意味を表す。この文では過去分詞 recycled が名詞 materials を修飾している。,recycled material 「リサイクル素材」,-,material / birth rate / elderly people / foreign / influence
2,7章,分詞,-,-,163-2,基本,-,F 103,出生率の低下はよく議論される問題だ。,The ( )( )( ) is a much-discussed issue.,-,The declining birth rate is a much-discussed issue.,declining / birth / rate,「出生率の低下」は「低下している出生率」と表現する。,分詞1語の場合、通例、名詞の前に分詞を置いて修飾する(分詞の前置修飾)。この文では declining が birth rate を前から修飾している。much-discussed も分詞形容詞。,declining birth rate 「出生率の低下」 ⇔ rising birth rate「出生率の上昇」,-,material / birth rate / elderly people / foreign / influence
3,7章,分詞,-,-,164-1,基本,-,F 103,一人暮らしの高齢者が増えている。,The number of (e )( )( )( ) is increasing.,e,The number of elderly people living alone is increasing.,elderly / people / living / alone,高齢者の「数」が増えているので、主語に the number of~を使う。「一人暮らしの高齢者」は「一人で暮らしている高齢者」と考え、分詞を含む2語を使って「高齢者」を修飾する。2語で名詞を修飾する場合、それらを置く位置は?,分詞句(分詞を含む2語以上の語のかたまり)の場合、名詞の後に分詞句を置いて修飾する(分詞の後置修飾)。現在分詞を使った分詞句 living alone が、名詞句 elderly people 「高齢者」を後ろから修飾している。,live alone 「一人暮らしする」,-,material / birth rate / elderly people / foreign / influence
4,7章,分詞,-,-,164-2,基本,-,F 103,外国語で書かれたメニューを提供しているレストランもある。,Some restaurants offer ( )(w )( )( )( ).,w,Some restaurants offer menus written in foreign languages.,menus / written / in / foreign / languages,「外国語で書かれた」はどう表現する? それを置く位置は?,この文では過去分詞を使った分詞句 written in foreign languagesが、名詞 menus を後ろから修飾している。,-,-,material / birth rate / elderly people / foreign / influence
5,7章,分詞,-,-,165,発展,-,-,キッチンから強いにおいがする。,(smell / is / coming / there / a strong) from the kitchen.,-,There is a strong smell coming from the kitchen.,There / is / a / strong / smell / coming,「キッチンから来る強いにおいがある」と考えて、there is 構文を使う。,There is S doing 「~しているSがある [いる]、Sが〜している」。S is doing という能動の関係 (a strong smell is coming) を含む there is 構文。,-,-,material / birth rate / elderly people / foreign / influence
6,7章,分詞,-,-,166,発展,-,-,いすにバッグが置き忘れてあり、女性がそれを手に取ろうとしている。,"There ( )( )( ) on the chair, and the woman is picking it up.",-,"There is a bag left on the chair, and the woman is picking it up.",is / a / bag / left,"「いすの上に置き忘れられたバッグがある」と考えて, there is 構文を使う。",There is S done 「~されるSがある [いる]、Sが〜される」。S is done という受動の関係 (a bag is left) を含む there is 構文。,-,-,material / birth rate / elderly people / foreign / influence
7,7章,分詞,-,-,167,基本,-,F 105,犬が飼い主のもとに走って来た。,The dog ( )( ) to his owner.,-,The dog came running to his owner.,came / running,「走って来た→走りながら来た」と表現する。,分詞には限定用法だけでなく、補語として使う叙述用法もある。SVCのCが現在分詞。SとCが能動の関係。,-,-,material / birth rate / elderly people / foreign / influence
8,7章,分詞,-,-,168,基本,-,-,子どもは親の影響を受けて育つ。,( )( )( )( ) by their parents.,-,Children grow up influenced by their parents.,Children / grow / up / influenced,「影響を受けて育つ→影響されて成長する」と表現する。「子どもは→子どもたちは」,SVCのCが過去分詞。SとCが受動の関係。,-,-,material / birth rate / elderly people / foreign / influence
